,Month,ET,newMonth,newET
0,1,25.646050596852923,March,25.07168009129085
1,2,25.731364952242146,April,24.54722519380247
2,3,25.07168009129085,May,25.529817969886054
3,4,24.54722519380247,June,24.450379366467775
4,5,25.529817969886054,July,27.987147683875953
5,6,24.450379366467775,August,29.486634043204052
6,7,27.987147683875953,September,29.445562551965722
7,8,29.486634043204052,October,26.6503691260502
8,9,29.445562551965722,November,25.309093986005895
9,10,26.6503691260502,December,21.8684751100547
10,11,25.309093986005895,January,25.646050596852923
11,12,21.8684751100547,February,25.731364952242146
